Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.1
Horizontal Delay,1.5
Sample Interval,1e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
1.000000e+00,-0.2
1.000010e+00,-0.2
1.000020e+00,-0.12
1.000030e+00,0.04
1.000040e+00,0.2
1.000050e+00,0.24
1.000060e+00,0.12
1.000070e+00,0
1.000080e+00,0
1.000090e+00,0
1.000100e+00,0
1.000110e+00,-0.08
1.000120e+00,-0.16
1.000130e+00,-0.24
1.000140e+00,-0.24
1.000150e+00,-0.08
1.000160e+00,0
1.000170e+00,0.16
1.000180e+00,0.16
1.000190e+00,0.12
1.000200e+00,0
1.000210e+00,0.08
1.000220e+00,0.04
1.000230e+00,-0.04
1.000240e+00,-0.24
1.000250e+00,-0.24
1.000260e+00,-0.32
1.000270e+00,-0.28
1.000280e+00,-0.08
1.000290e+00,0.08
1.000300e+00,0.16
1.000310e+00,0.08
1.000320e+00,0
1.000330e+00,0.08
1.000340e+00,0.16
1.000350e+00,0.12
1.000360e+00,-0.04
1.000370e+00,-0.12
1.000380e+00,-0.12
1.000390e+00,-0.24
1.000400e+00,-0.16
1.000410e+00,-0.04
1.000420e+00,0.04
1.000430e+00,0.08
1.000440e+00,0
1.000450e+00,0
1.000460e+00,0.08
1.000470e+00,0.08
1.000480e+00,0
1.000490e+00,-0.04
1.000500e+00,-0.12
1.000510e+00,-0.08
1.000520e+00,-0.12
1.000530e+00,0
1.000540e+00,0.04
1.000550e+00,0.12
1.000560e+00,0.12
1.000570e+00,0
1.000580e+00,0.12
1.000590e+00,0.12
1.000600e+00,0.08
1.000610e+00,-0.04
1.000620e+00,-0.16
1.000630e+00,-0.24
1.000640e+00,-0.24
1.000650e+00,-0.12
1.000660e+00,0
1.000670e+00,0.08
1.000680e+00,0.2
1.000690e+00,0.08
1.000700e+00,0
1.000710e+00,0.08
1.000720e+00,0.04
1.000730e+00,0
1.000740e+00,-0.08
1.000750e+00,-0.24
1.000760e+00,-0.24
1.000770e+00,-0.32
1.000780e+00,-0.16
1.000790e+00,0
1.000800e+00,0.12
1.000810e+00,0.12
1.000820e+00,0.08
1.000830e+00,0.08
1.000840e+00,0.12
1.000850e+00,0.08
1.000860e+00,-0.08
1.000870e+00,-0.12
1.000880e+00,-0.2
1.000890e+00,-0.24
1.000900e+00,-0.16
1.000910e+00,-0.04
1.000920e+00,0.08
1.000930e+00,0.04
1.000940e+00,0.04
1.000950e+00,-0.12
1.000960e+00,-0.04
1.000970e+00,0.04
1.000980e+00,0
1.000990e+00,0
1.001000e+00,-0.08
1.001010e+00,-0.16
1.001020e+00,-0.12
1.001030e+00,-0.08
1.001040e+00,0.04
1.001050e+00,0.08
1.001060e+00,0.08
1.001070e+00,0
1.001080e+00,0.04
1.001090e+00,0.08
1.001100e+00,0.08
1.001110e+00,0.04
1.001120e+00,-0.04
1.001130e+00,-0.12
1.001140e+00,-0.16
1.001150e+00,-0.08
1.001160e+00,0.08
1.001170e+00,0.16
1.001180e+00,0.08
1.001190e+00,0
1.001200e+00,-0.04
1.001210e+00,-0.04
1.001220e+00,0
1.001230e+00,0
1.001240e+00,-0.04
1.001250e+00,-0.12
1.001260e+00,-0.28
1.001270e+00,-0.2
1.001280e+00,-0.16
1.001290e+00,0
1.001300e+00,0.12
1.001310e+00,0.12
1.001320e+00,0
1.001330e+00,0.08
1.001340e+00,0.16
1.001350e+00,0.16
1.001360e+00,0.08
1.001370e+00,-0.04
1.001380e+00,-0.2
1.001390e+00,-0.32
1.001400e+00,-0.32
1.001410e+00,-0.16
1.001420e+00,-0.04
1.001430e+00,0.12
1.001440e+00,0.08
1.001450e+00,0
1.001460e+00,0.08
1.001470e+00,0.12
1.001480e+00,0.08
1.001490e+00,0
1.001500e+00,-0.16
1.001510e+00,-0.2
1.001520e+00,-0.28
1.001530e+00,-0.2
1.001540e+00,-0.04
1.001550e+00,0.08
1.001560e+00,0.08
1.001570e+00,0.04
1.001580e+00,0.04
1.001590e+00,0.08
1.001600e+00,0.12
1.001610e+00,0.04
1.001620e+00,-0.08
1.001630e+00,-0.2
1.001640e+00,-0.2
1.001650e+00,-0.16
1.001660e+00,-0.04
1.001670e+00,0
1.001680e+00,0.08
1.001690e+00,0
1.001700e+00,-0.04
1.001710e+00,0
1.001720e+00,0
1.001730e+00,0.04
1.001740e+00,-0.04
1.001750e+00,-0.08
1.001760e+00,-0.12
1.001770e+00,-0.12
1.001780e+00,-0.04
1.001790e+00,0
1.001800e+00,0.12
1.001810e+00,0.12
1.001820e+00,-0.04
1.001830e+00,0
1.001840e+00,0.08
1.001850e+00,0.08
1.001860e+00,0.04
1.001870e+00,-0.04
1.001880e+00,-0.16
1.001890e+00,-0.28
1.001900e+00,-0.28
1.001910e+00,-0.16
1.001920e+00,0
1.001930e+00,0.16
1.001940e+00,0.08
1.001950e+00,0.04
1.001960e+00,0.04
1.001970e+00,0.08
1.001980e+00,0.08
1.001990e+00,0.04
1.002000e+00,-0.08
1.002010e+00,-0.2
1.002020e+00,-0.24
1.002030e+00,-0.2
1.002040e+00,-0.12
1.002050e+00,-0.04
1.002060e+00,0
1.002070e+00,-0.04
1.002080e+00,-0.04
1.002090e+00,0.04
1.002100e+00,0.12
1.002110e+00,0.12
1.002120e+00,0
1.002130e+00,-0.12
1.002140e+00,-0.24
1.002150e+00,-0.2
1.002160e+00,-0.08
1.002170e+00,0
1.002180e+00,0.04
1.002190e+00,0.08
1.002200e+00,-0.04
1.002210e+00,-0.12
1.002220e+00,0
1.002230e+00,0.04
1.002240e+00,-0.04
1.002250e+00,-0.16
1.002260e+00,-0.24
1.002270e+00,-0.24
1.002280e+00,-0.24
1.002290e+00,-0.08
1.002300e+00,0.08
1.002310e+00,0.16
1.002320e+00,0.08
1.002330e+00,0.08
1.002340e+00,0.08
1.002350e+00,0.16
1.002360e+00,0.08
1.002370e+00,-0.04
1.002380e+00,-0.16
1.002390e+00,-0.28
1.002400e+00,-0.2
1.002410e+00,-0.12
1.002420e+00,-0.04
1.002430e+00,0.04
1.002440e+00,0.08
1.002450e+00,0
1.002460e+00,-0.04
1.002470e+00,0.12
1.002480e+00,0.2
1.002490e+00,0.08
1.002500e+00,0
1.002510e+00,-0.12
1.002520e+00,-0.16
1.002530e+00,-0.2
1.002540e+00,-0.12
1.002550e+00,-0.04
1.002560e+00,0
1.002570e+00,0
1.002580e+00,-0.04
1.002590e+00,-0.04
1.002600e+00,0.08
1.002610e+00,0.12
1.002620e+00,0.12
1.002630e+00,-0.04
1.002640e+00,-0.2
1.002650e+00,-0.24
1.002660e+00,-0.24
1.002670e+00,-0.08
1.002680e+00,0.04
1.002690e+00,0.12
1.002700e+00,0.04
1.002710e+00,0
1.002720e+00,0
1.002730e+00,0.04
1.002740e+00,-0.04
1.002750e+00,-0.12
1.002760e+00,-0.16
1.002770e+00,-0.24
1.002780e+00,-0.2
1.002790e+00,-0.08
1.002800e+00,0.04
1.002810e+00,0.12
1.002820e+00,0.12
1.002830e+00,0
1.002840e+00,0
1.002850e+00,0.08
1.002860e+00,0.08
1.002870e+00,-0.04
1.002880e+00,-0.12
1.002890e+00,-0.28
1.002900e+00,-0.32
1.002910e+00,-0.24
1.002920e+00,-0.04
1.002930e+00,0.08
1.002940e+00,0.08
1.002950e+00,0.04
1.002960e+00,0.04
1.002970e+00,0.08
1.002980e+00,0.12
1.002990e+00,0.12
1.003000e+00,0
1.003010e+00,-0.12
1.003020e+00,-0.2
1.003030e+00,-0.28
1.003040e+00,-0.16
1.003050e+00,0
1.003060e+00,0.08
1.003070e+00,0.12
1.003080e+00,0.08
1.003090e+00,0.04
1.003100e+00,0.12
1.003110e+00,0.12
1.003120e+00,0.04
1.003130e+00,-0.08
1.003140e+00,-0.16
1.003150e+00,-0.24
1.003160e+00,-0.16
1.003170e+00,-0.04
1.003180e+00,-0.04
1.003190e+00,0
1.003200e+00,0.04
1.003210e+00,0
1.003220e+00,0.08
1.003230e+00,0.2
1.003240e+00,0.2
1.003250e+00,0
1.003260e+00,-0.12
1.003270e+00,-0.24
1.003280e+00,-0.32
1.003290e+00,-0.2
1.003300e+00,-0.04
1.003310e+00,0.08
1.003320e+00,0.04
1.003330e+00,0
1.003340e+00,-0.08
1.003350e+00,0.04
1.003360e+00,0.04
1.003370e+00,0
1.003380e+00,-0.12
1.003390e+00,-0.16
1.003400e+00,-0.16
1.003410e+00,-0.2
1.003420e+00,-0.12
1.003430e+00,-0.04
1.003440e+00,0.08
1.003450e+00,0.08
1.003460e+00,0
1.003470e+00,0.08
1.003480e+00,0.08
1.003490e+00,0.08
1.003500e+00,-0.04
1.003510e+00,-0.16
1.003520e+00,-0.24
1.003530e+00,-0.24
1.003540e+00,-0.12
1.003550e+00,0
1.003560e+00,0.08
1.003570e+00,0.04
1.003580e+00,-0.04
1.003590e+00,-0.08
1.003600e+00,0.04
1.003610e+00,0.12
1.003620e+00,0.12
1.003630e+00,0
1.003640e+00,-0.2
1.003650e+00,-0.28
1.003660e+00,-0.28
1.003670e+00,-0.16
1.003680e+00,-0.04
1.003690e+00,0.08
1.003700e+00,0.12
1.003710e+00,0.08
1.003720e+00,0.08
1.003730e+00,0.12
1.003740e+00,0.08
1.003750e+00,0
1.003760e+00,-0.12
1.003770e+00,-0.2
1.003780e+00,-0.28
1.003790e+00,-0.24
1.003800e+00,-0.12
1.003810e+00,0.08
1.003820e+00,0.08
1.003830e+00,0.08
1.003840e+00,0
1.003850e+00,0.08
1.003860e+00,0.12
1.003870e+00,0.04
1.003880e+00,-0.04
1.003890e+00,-0.12
1.003900e+00,-0.24
1.003910e+00,-0.28
1.003920e+00,-0.2
1.003930e+00,-0.04
1.003940e+00,0.04
1.003950e+00,0.04
1.003960e+00,0
1.003970e+00,0
1.003980e+00,0.08
1.003990e+00,0.08
1.004000e+00,0.04
1.004010e+00,-0.04
1.004020e+00,-0.12
1.004030e+00,-0.24
1.004040e+00,-0.2
1.004050e+00,-0.12
1.004060e+00,-0.04
1.004070e+00,0.08
1.004080e+00,0.08
1.004090e+00,0.04
1.004100e+00,0.08
1.004110e+00,0.08
1.004120e+00,0.04
1.004130e+00,-0.04
1.004140e+00,-0.16
1.004150e+00,-0.24
1.004160e+00,-0.32
1.004170e+00,-0.24
1.004180e+00,-0.04
1.004190e+00,0.08
1.004200e+00,0.2
1.004210e+00,0.12
1.004220e+00,0.08
1.004230e+00,0.16
1.004240e+00,0.16
1.004250e+00,0.08
1.004260e+00,0
1.004270e+00,-0.12
1.004280e+00,-0.24
1.004290e+00,-0.24
1.004300e+00,-0.12
1.004310e+00,-0.04
1.004320e+00,0.08
1.004330e+00,0.08
1.004340e+00,0.08
1.004350e+00,0.08
1.004360e+00,0.08
1.004370e+00,0.12
1.004380e+00,-0.04
1.004390e+00,-0.12
1.004400e+00,-0.16
1.004410e+00,-0.16
1.004420e+00,-0.12
1.004430e+00,-0.04
1.004440e+00,0.04
1.004450e+00,0.04
1.004460e+00,0.04
1.004470e+00,0.04
1.004480e+00,0.12
1.004490e+00,0.08
1.004500e+00,0
1.004510e+00,-0.12
1.004520e+00,-0.24
1.004530e+00,-0.32
1.004540e+00,-0.28
1.004550e+00,-0.12
1.004560e+00,0
1.004570e+00,0.12
1.004580e+00,0.16
1.004590e+00,0
1.004600e+00,0
1.004610e+00,0.08
1.004620e+00,0.08
1.004630e+00,-0.04
1.004640e+00,-0.08
1.004650e+00,-0.24
1.004660e+00,-0.32
1.004670e+00,-0.4
1.004680e+00,-0.16
1.004690e+00,0
1.004700e+00,0.12
1.004710e+00,0.12
1.004720e+00,0.08
1.004730e+00,0.08
1.004740e+00,0.12
1.004750e+00,0.04
1.004760e+00,-0.04
1.004770e+00,-0.16
1.004780e+00,-0.24
1.004790e+00,-0.28
1.004800e+00,-0.16
1.004810e+00,0
1.004820e+00,0.04
1.004830e+00,0.08
1.004840e+00,0.04
1.004850e+00,0
1.004860e+00,0.08
1.004870e+00,0.12
1.004880e+00,0.08
1.004890e+00,-0.04
1.004900e+00,-0.2
1.004910e+00,-0.24
1.004920e+00,-0.16
1.004930e+00,-0.08
1.004940e+00,0.04
1.004950e+00,0.08
1.004960e+00,0.08
1.004970e+00,0
1.004980e+00,0
1.004990e+00,0.12
1.005000e+00,0.04
1.005010e+00,0
1.005020e+00,-0.16
1.005030e+00,-0.28
1.005040e+00,-0.24
1.005050e+00,-0.12
1.005060e+00,-0.04
1.005070e+00,0.04
1.005080e+00,0.04
1.005090e+00,0
1.005100e+00,-0.04
1.005110e+00,0.08
1.005120e+00,0.16
1.005130e+00,0.16
1.005140e+00,-0.04
1.005150e+00,-0.16
1.005160e+00,-0.28
1.005170e+00,-0.28
1.005180e+00,-0.24
1.005190e+00,-0.04
1.005200e+00,0.08
1.005210e+00,0.08
1.005220e+00,0.08
1.005230e+00,0
1.005240e+00,0.08
1.005250e+00,0.12
1.005260e+00,0
1.005270e+00,-0.08
1.005280e+00,-0.2
1.005290e+00,-0.28
1.005300e+00,-0.24
1.005310e+00,-0.04
1.005320e+00,0.04
1.005330e+00,0.08
1.005340e+00,0.04
1.005350e+00,-0.04
1.005360e+00,0.04
1.005370e+00,0.16
1.005380e+00,0.08
1.005390e+00,-0.04
1.005400e+00,-0.12
1.005410e+00,-0.2
1.005420e+00,-0.2
1.005430e+00,-0.16
1.005440e+00,-0.04
1.005450e+00,0.08
1.005460e+00,0.08
1.005470e+00,0
1.005480e+00,0.04
1.005490e+00,0.16
1.005500e+00,0.16
1.005510e+00,0.08
1.005520e+00,-0.08
1.005530e+00,-0.24
1.005540e+00,-0.28
1.005550e+00,-0.16
1.005560e+00,-0.04
1.005570e+00,0.08
1.005580e+00,0.12
1.005590e+00,0.08
1.005600e+00,0
1.005610e+00,0
1.005620e+00,0.08
1.005630e+00,0.12
1.005640e+00,-0.04
1.005650e+00,-0.16
1.005660e+00,-0.28
1.005670e+00,-0.32
1.005680e+00,-0.2
1.005690e+00,0
1.005700e+00,0.16
1.005710e+00,0.2
1.005720e+00,0.12
1.005730e+00,0.04
1.005740e+00,0.08
1.005750e+00,0.04
1.005760e+00,-0.04
1.005770e+00,-0.12
1.005780e+00,-0.16
1.005790e+00,-0.24
1.005800e+00,-0.16
1.005810e+00,-0.12
1.005820e+00,0
1.005830e+00,0.12
1.005840e+00,0.12
1.005850e+00,0.08
1.005860e+00,0.08
1.005870e+00,0.12
1.005880e+00,0
1.005890e+00,-0.04
1.005900e+00,-0.12
1.005910e+00,-0.24
1.005920e+00,-0.24
1.005930e+00,-0.2
1.005940e+00,-0.16
1.005950e+00,0
1.005960e+00,0.04
1.005970e+00,0.04
1.005980e+00,0
1.005990e+00,0.12
1.006000e+00,0.16
1.006010e+00,0.08
1.006020e+00,-0.04
1.006030e+00,-0.16
1.006040e+00,-0.24
1.006050e+00,-0.16
1.006060e+00,-0.04
1.006070e+00,0.04
1.006080e+00,0.12
1.006090e+00,0.04
1.006100e+00,-0.04
1.006110e+00,-0.04
1.006120e+00,0
1.006130e+00,0.04
1.006140e+00,-0.04
1.006150e+00,-0.16
1.006160e+00,-0.16
1.006170e+00,-0.24
1.006180e+00,-0.12
